id;user;device;video_type;complexity;bandwidth;quality;buffersize;Rebuffer;screen_size;resolution;memory_load;percent_memory;vmos;rmos
1;2;2;1;1;36023;750;4;22.0;6;10;20;0.006666666666666667;4;1
2;2;2;1;1;59439;4300;8;0.0;6;10;240;0.08;6;1
3;2;2;1;1;76162;4300;12;0.0;6;10;360;0.12;6;1
4;2;2;1;1;88546;4300;16;0.0;6;10;480;0.16;6;1
5;2;2;1;1;98479;4300;20;0.0;6;10;600;0.2;6;1
6;2;2;1;1;169781;4300;24;0.0;6;10;720;0.24;6;1
7;2;2;1;1;170325;4300;28;0.0;6;10;840;0.28;6;1
8;2;2;1;1;171986;4300;30;0.0;6;10;900;0.3;6;1
9;2;2;1;1;170249;4300;30;0.0;6;10;900;0.3;6;1
10;2;2;1;1;169299;4300;30;0.0;6;10;900;0.3;6;1
11;2;2;1;1;173331;4300;30;0.0;6;10;900;0.3;6;1
12;2;2;1;1;172423;4300;30;0.0;6;10;900;0.3;6;1
13;2;2;1;1;171246;4300;30;0.0;6;10;900;0.3;6;1
14;2;2;1;1;174764;4300;30;0.0;6;10;900;0.3;6;1
15;2;2;1;1;171935;4300;30;0.0;6;10;900;0.3;6;1
16;2;2;1;1;171603;4300;30;0.0;6;10;900;0.3;6;1
17;2;2;1;1;174515;4300;30;0.0;6;10;900;0.3;6;1
18;2;2;1;1;172042;4300;30;0.0;6;10;900;0.3;6;1
19;2;2;1;1;171245;4300;30;0.0;6;10;900;0.3;6;1
20;2;2;1;1;173850;4300;30;0.0;6;10;900;0.3;6;1
21;2;2;1;1;171931;4300;30;0.0;6;10;900;0.3;6;1
22;2;2;1;1;170269;4300;30;0.0;6;10;900;0.3;6;1
23;2;2;1;1;172874;4300;30;0.0;6;10;900;0.3;6;1
24;2;2;1;1;170015;4300;30;0.0;6;10;900;0.3;6;1
25;2;2;1;1;170476;4300;30;0.0;6;10;900;0.3;6;1
26;2;2;1;1;171591;4300;30;0.0;6;10;900;0.3;6;1
27;2;2;1;1;174741;4300;30;0.0;6;10;900;0.3;6;1
28;2;2;1;1;170500;4300;30;0.0;6;10;900;0.3;6;1
29;2;2;1;1;172022;4300;30;0.0;6;10;900;0.3;6;1
30;2;2;1;1;171668;4300;30;0.0;6;10;900;0.3;6;1
31;2;2;1;1;171800;4300;30;0.0;6;10;900;0.3;6;1
32;2;2;1;1;168320;4300;30;0.0;6;10;900;0.3;6;1
33;2;2;1;1;46377;4300;30;0.0;6;10;900;0.3;6;1
34;2;2;1;1;3613;4300;28;0.0;6;10;840;0.28;6;1
35;2;2;1;1;3442;4300;27;0.0;6;10;810;0.27;6;1
36;2;2;1;1;3441;1850;12;0.0;6;10;120;0.04;6;1
37;2;2;1;1;3567;4300;15;0.0;6;10;450;0.15;6;1
38;2;2;1;1;3498;1850;12;0.0;6;10;120;0.04;6;1
39;2;2;1;1;3927;1850;12;0.0;6;10;120;0.04;6;1
40;2;2;1;1;29032;1850;12;0.0;6;10;120;0.04;6;1
41;2;2;1;1;27103;4300;15;0.0;6;10;450;0.15;6;1
42;2;2;1;1;30087;1850;12;0.0;6;10;120;0.04;6;1
43;2;2;1;1;32366;1850;12;0.0;6;10;120;0.04;6;1
44;2;2;1;1;1742;1850;10;0.0;6;10;100;0.03333333333333333;6;1
45;2;2;1;1;501;300;11;0.0;6;10;11;0.0036666666666666666;3;1
46;2;2;1;1;369;300;10;0.0;6;10;10;0.0033333333333333335;3;1
47;2;2;1;1;311;300;10;0.0;6;10;10;0.0033333333333333335;3;1
48;2;2;1;1;310;750;12;0.0;6;10;60;0.02;4;1
0;2;2;1;1;249;4300;13;0.0;6;10;390;0.13;6;1
1;2;2;1;1;53463;750;4;14.0;6;10;20;0.006666666666666667;4;1
2;2;2;1;1;81326;4300;8;0.0;6;10;240;0.08;6;1
3;2;2;1;1;98899;4300;12;0.0;6;10;360;0.12;6;1
4;2;2;1;1;110746;4300;16;0.0;6;10;480;0.16;6;1
5;2;2;1;1;119857;4300;20;0.0;6;10;600;0.2;6;1
6;2;2;1;1;169781;4300;24;0.0;6;10;720;0.24;6;1
7;2;2;1;1;170325;4300;28;0.0;6;10;840;0.28;6;1
8;2;2;1;1;171986;4300;30;0.0;6;10;900;0.3;6;1
9;2;2;1;1;170249;4300;30;0.0;6;10;900;0.3;6;1
10;2;2;1;1;169299;4300;30;0.0;6;10;900;0.3;6;1
11;2;2;1;1;173331;4300;30;0.0;6;10;900;0.3;6;1
12;2;2;1;1;172423;4300;30;0.0;6;10;900;0.3;6;1
13;2;2;1;1;171246;4300;30;0.0;6;10;900;0.3;6;1
14;2;2;1;1;174764;4300;30;0.0;6;10;900;0.3;6;1
15;2;2;1;1;171935;4300;30;0.0;6;10;900;0.3;6;1
16;2;2;1;1;171603;4300;30;0.0;6;10;900;0.3;6;1
17;2;2;1;1;174515;4300;30;0.0;6;10;900;0.3;6;1
18;2;2;1;1;172042;4300;30;0.0;6;10;900;0.3;6;1
19;2;2;1;1;171245;4300;30;0.0;6;10;900;0.3;6;1
20;2;2;1;1;173850;4300;30;0.0;6;10;900;0.3;6;1
21;2;2;1;1;171931;4300;30;0.0;6;10;900;0.3;6;1
22;2;2;1;1;170269;4300;30;0.0;6;10;900;0.3;6;1
23;2;2;1;1;172874;4300;30;0.0;6;10;900;0.3;6;1
24;2;2;1;1;170015;4300;30;0.0;6;10;900;0.3;6;1
25;2;2;1;1;170476;4300;30;0.0;6;10;900;0.3;6;1
